;z_simulated_optimal;z_ml_optimal;z_simulated_non_optimal;z_ml_non_optimal;difference_optimals;difference;p_value;reject_null_hypothesis
HIRING_SAMPLE_SIZE;0.044158531615749876;0.0024677113843608795;-0.00269909400047101;-0.0006699743454284465;0.041690820231388995;-4.512152392323055;6.417305233667831e-06;yes
LABOR_MARKET;0.07903841617040626;0.0113414214840076;-0.0048310509213181;-0.003079153211899755;0.06769699468639866;-4.58839503341905;4.466668022155436e-06;yes
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.04048392574207101;0.005052756818877116;-0.0024744917247966547;-0.0013718044434537216;0.035431168923193895;-4.10414137829098;4.058192476212558e-05;yes
MARKUP;0.0;-0.000956366787710784;0.0;0.0002596499804743907;0.000956366787710784;-4.2832320119086305;1.8419792159583326e-05;yes
MAX_LOAN_TO_VALUE;0.04048392574207067;0.001774466764162235;-0.0024744917247966334;-0.0004817610423578934;0.03870945897790844;-4.181660711277087;2.8938759096578073e-05;yes
MUNICIPAL_EFFICIENCY_MANAGEMENT;-0.009067273973500151;-0.0035036229188866027;0.0005542173585872511;0.0009512204249496465;-0.005563651054613548;-3.6711004403187433;0.00024150840235735404;yes
NEIGHBORHOOD_EFFECT;-0.7383740497508394;-0.006956241344551212;0.045131504477422625;0.0018885933219957719;-0.7314178084062882;-4.037087354972311;5.411892129750611e-05;yes
OFFER_SIZE_ON_PRICE;0.0;-0.0026836481167310444;0.0;0.0007286003550325098;0.0026836481167310444;-4.427211633823533;9.545906285407978e-06;yes
PCT_DISTANCE_HIRING;-0.05937631032146513;-0.013256028415026374;0.0036292475553324917;0.003598961781849269;-0.046120281906438756;-2.0537472830528243;0.04000015760894565;yes
PERCENTAGE_ACTUAL_POP;-1.3914970829413995;-0.9831376910994531;0.08505222637648814;0.2669181798428512;-0.40835939184194636;-2.1536375455676047;0.031268607457576356;yes
PERCENTAGE_ENTERING_ESTATE_MARKET;-0.09131480240119814;-0.021531069347463728;0.0055814182728594845;0.005845604224466569;-0.06978373305373442;-1.2669016222379308;0.20519046860767243;no
PERCENT_CONSTRUCTION_FIRMS;-0.07055995032602268;-0.003633507440964005;0.004312823175931091;0.0009864835834601257;-0.06692644288505867;-3.84279798273847;0.00012163958989668936;yes
POLICY_COEFFICIENT;-0.024316580936068106;-0.006859386562879253;0.0014862980107342417;0.0018622976138836398;-0.017457194373188854;-1.63933767787815;0.1011429532233816;no
POLICY_DAYS;-0.28829833445235137;-0.06062922527045927;0.01762160733671211;0.016460606282289836;-0.2276691091818921;-1.6163806131931593;0.1060120472923957;no
POLICY_QUANTILE;-0.25427654058175636;-0.028701244906282373;0.015542099338106867;0.007792279880033651;-0.225575295675474;-1.5648592979414973;0.11761590413875898;no
PRIVATE_TRANSIT_COST;-2.8911078269624467e-15;-0.003983267961180581;0.0;0.0010814422472853304;0.00398326796117769;-3.797928359695232;0.0001459104787325309;yes
PRODUCTIVITY_EXPONENT;0.05158926625147888;0.0013778511465727926;-0.0031532814593578104;-0.0003740813962419962;0.050211415104906086;-4.299477993883233;1.7120087342799604e-05;yes
PRODUCTIVITY_MAGNITUDE_DIVISOR;-0.05615833435424399;-0.004387008126107288;0.0034325557883130376;0.0011910561812562713;-0.0517713262281367;-2.154307238452419;0.03121608560045811;yes
PUBLIC_TRANSIT_COST;-0.08885074097640103;-0.03879325296407837;0.00543080788885577;0.010532222052987634;-0.050057488012322654;-1.2696388690447278;0.2042132972693771;no
SIZE_MARKET;-0.007227302016829933;0.0006738982921024243;0.00044175308294888054;-0.0001829608477006297;-0.007901200308932358;-4.225885463867749;2.380030329986271e-05;yes
STICKY_PRICES;1.4455539150300318e-15;-0.0005313867336767691;4.336661745090095e-15;0.00014426949644745184;0.0005313867336782147;-4.464431533113905;8.028161482199523e-06;yes
TAX_ESTATE_TRANSACTION;0.05158926625169247;0.0012333082101651787;-0.0031532814593624335;-0.00033483853342316264;0.05035595804152729;-4.3838529865378035;1.1659847454101703e-05;yes
TOTAL_DAYS;-0.11764382813717009;-0.044367473893352855;0.007190722585889488;0.012045602038268143;-0.07327635424381723;-1.3752472434880951;0.16905480618477908;no
